Treatment,Mean,Baseline Mean,Difference,t-stat,p-value,Significant (5%)
1c Piece Rate,2029.4444,1520.6796,508.7648,12.2329,0.0000,***
10c Piece Rate,2174.6184,1520.6796,653.9387,16.5310,0.0000,***
4c Piece Rate,2131.8577,1520.6796,611.1780,14.9427,0.0000,***
Very Low Pay,1883.1933,1520.6796,362.5137,8.5594,0.0000,***
1c Red Cross,1906.9946,1520.6796,386.3150,9.3798,0.0000,***
10c Red Cross,1918.4153,1520.6796,397.7357,9.7989,0.0000,***
1c 2 Weeks,2004.2059,1520.6796,483.5263,11.6420,0.0000,***
1c 4 Weeks,1970.3655,1520.6796,449.6858,10.6068,0.0000,***
Gain 40c,2135.9523,1520.6796,615.2727,15.4635,0.0000,***
Loss 40c,2154.7726,1520.6796,634.0929,16.3281,0.0000,***
Gain 80c,2187.8571,1520.6796,667.1775,17.2061,0.0000,***
Prob .01 $1,1895.5387,1520.6796,374.8591,8.8756,0.0000,***
Prob .5 2c,1977.1444,1520.6796,456.4647,11.4587,0.0000,***
Social Comp.,1848.3650,1520.6796,327.6854,7.3121,0.0000,***
Ranking,1761.2928,1520.6796,240.6132,5.5005,0.0000,***
Task Signif.,1739.5361,1520.6796,218.8565,5.1553,0.0000,***
Gift Exch.,1601.8991,1520.6796,81.2195,1.8826,0.0600,*
